"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",-0.020747735,0.0000000000,-0.020747735,0.0000000000,0.0000000000,-0.013680066,0.00,1.00,1.00,0.0021212147
"3",-0.023631287,-0.008832197,-0.014799090,-0.008832197,0.0130175567,-0.015581343,1.00,1.00,1.00,0.0059689946
"4",-0.031071922,-0.016781175,-0.022239724,-0.008832197,0.0168157907,-0.019677898,1.00,1.00,1.00,0.0053413356
"5",-0.036887680,-0.023935255,-0.028055483,-0.008832197,0.0250906335,-0.022787752,1.00,1.00,1.00,0.0039976863
"6",-0.074580896,-0.030373926,-0.065748698,-0.008832197,0.0315433551,-0.047039648,1.00,1.00,1.00,0.0029780834
"7",-0.078336639,-0.036168731,-0.069504442,-0.008832197,0.0854037386,-0.048945324,1.00,1.00,1.00,0.0004342352
"8",-0.064876685,-0.041384055,-0.056044488,-0.008832197,0.0901412347,-0.039520458,1.00,1.00,1.00,0.0004329135
"9",-0.045948353,-0.046077847,-0.037116156,-0.008832197,0.0682350327,-0.026518185,1.00,1.00,1.00,0.0006558410
"10",-0.050979366,-0.050302260,-0.042147168,-0.008832197,0.0397005242,-0.029417539,1.00,1.00,1.00,0.0017459272
"11",-0.057686512,-0.054104231,-0.048854315,-0.008832197,0.0459937642,-0.033472528,1.00,1.00,1.00,0.0010282918
"12",-0.080722102,-0.057526005,-0.071889904,-0.008832197,0.0549494252,-0.048390189,1.00,1.00,1.00,0.0008780290
"13",-0.063592416,-0.060605602,-0.054760219,-0.008832197,0.0895321766,-0.036725248,1.00,1.00,1.00,0.0004334791
"14",-0.053104025,-0.063377239,-0.044271828,-0.008832197,0.0623838700,-0.029488253,1.00,1.00,1.00,0.0007573705
"15",-0.029807058,-0.065871712,-0.020974861,-0.008832197,0.0464034900,-0.013779528,1.00,1.00,1.00,0.0010245709
"16",-0.009045340,-0.068116738,-0.000213142,-0.008832197,0.0137300735,0.0002291507,1.00,1.00,1.00,0.0058864766
"17",-0.026022787,-0.061321707,-0.026006144,-0.000016643,0.0000000000,-0.010823290,0.00,1.00,1.00,0.0020974480
"18",-0.012223077,-0.063845223,-0.003567391,-0.008655686,0.0000000000,-0.002311044,0.00,1.00,1.00,0.0058989556
"19",-0.014641300,-0.059454067,-0.012647933,-0.001993367,0.0000000000,-0.003675687,0.00,1.00,0.00,0.0029873225
"20",-0.049635296,-0.056559036,-0.046584921,-0.003050375,0.0000000000,-0.027294483,0.00,1.00,1.00,0.0034214469
"21",-0.041226106,-0.059735329,-0.032393909,-0.008832197,0.0415407216,-0.021987649,1.00,1.00,1.00,0.0014847805
"22",-0.047965333,-0.062593994,-0.039133135,-0.008832197,0.0303843369,-0.026161181,1.00,1.00,1.00,0.0032110158
"23",-0.038928895,-0.065166792,-0.030096698,-0.008832197,0.0392252963,-0.019903078,1.00,1.00,1.00,0.0018486829
"24",-0.066888470,-0.067482310,-0.058056273,-0.008832197,0.0261395272,-0.038211998,1.00,1.00,1.00,0.0038864669
"25",-0.042111098,-0.069566276,-0.033278901,-0.008832197,0.0659417027,-0.021558647,1.00,1.00,1.00,0.0007019288
"26",-0.028065944,-0.071441846,-0.019233747,-0.008832197,0.0296321772,-0.012042716,1.00,1.00,0.00,0.0033817665
"27",-0.037159552,-0.073129859,-0.028327355,-0.008832197,0.0090155288,-0.017902542,1.00,1.00,1.00,0.0063229775
"28",-0.037961610,-0.074649070,-0.029129413,-0.008832197,0.0221315011,-0.018276945,1.00,1.00,1.00,0.0045326702
"29",-0.040877211,-0.076016360,-0.032045014,-0.008832197,0.0229165632,-0.020070650,1.00,1.00,1.00,0.0044090679
"30",-0.038114054,-0.077246922,-0.029281856,-0.008832197,0.0266308215,-0.018107743,1.00,1.00,1.00,0.0038223462
"31",-0.058267599,-0.078354427,-0.049435401,-0.008832197,0.0226016458,-0.031377956,1.00,1.00,1.00,0.0044620137
"32",-0.045546104,-0.079351181,-0.036713907,-0.008832197,0.0508562131,-0.022825232,1.00,1.00,1.00,0.0009533323
"33",-0.043703032,-0.080248260,-0.034870834,-0.008832197,0.0324330099,-0.021507792,1.00,1.00,1.00,0.0029209614
"34",-0.031878594,-0.081055632,-0.023046397,-0.008832197,0.0296821082,-0.013568092,1.00,1.00,1.00,0.0033497282
