"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",-0.003381850,0.0000000000,-0.003381850,0.0000000000,0.0000000000,-0.002229830,0.00,1.00,1.00,0.0021212147
"3",-0.004552239,-0.001760360,-0.002791879,-0.001760360,0.0000000000,-0.003001529,0.00,1.00,0.00,0.0029085882
"4",-0.002213386,-0.003957992,0.0001602819,-0.002373668,0.0000000000,-0.001295155,0.00,1.00,1.00,0.0031444737
"5",-0.000211688,-0.004594617,0.0008207363,-0.001032424,0.0000000000,0.0002303564,0.00,1.00,1.00,0.0025639272
"6",0.0390826963,-0.003965483,0.0389130239,0.0001696724,0.0000000000,0.0262098806,0.00,1.00,1.00,0.0020463076
"7",0.0433405539,0.0171148024,0.0226568171,0.0206837367,0.0000000000,0.0289579714,0.00,1.00,1.00,0.0000133498
"8",0.0554447687,0.0383690951,0.0324789957,0.0229657729,0.0000000000,0.0349058461,0.00,1.00,1.00,0.0000112125
"9",0.0757919689,0.0623294576,0.0479946969,0.0277972720,0.0000000000,0.0462374638,0.00,1.00,1.00,0.0000065114
"10",0.1055638051,0.0930514129,0.0686089040,0.0369549011,0.0000000000,0.0634484864,0.00,1.00,1.00,0.0000002080
"11",0.1246958996,0.1346610024,0.0737811688,0.0509147308,0.0000000000,0.0729735896,0.00,1.00,1.00,0.0000017111
"12",0.1419299408,0.1800843632,0.0830404798,0.0588894610,0.0000000000,0.0801649325,0.00,1.00,1.00,0.0000026125
"13",0.0976381128,0.2271476697,0.0325663700,0.0650717428,0.0000000000,0.0470574860,0.00,1.00,1.00,0.0000032046
"14",0.0256945180,0.2430045979,-0.012877177,0.0385716953,0.0000000000,-0.003756367,0.00,1.00,1.00,0.0000011412
"15",0.0135894476,0.2160748525,0.0162187333,-0.002629286,0.0000000000,-0.012947157,0.00,1.00,1.00,0.0033164095
"16",-0.016893477,0.1856351699,-0.008061280,-0.008832197,0.0108233269,-0.030322055,1.00,1.00,1.00,0.0062865396
"17",0.0095726515,0.1582394556,0.0184048488,-0.008832197,0.0442496648,-0.010551670,1.00,1.00,1.00,0.0010052319
"18",0.0266877405,0.1342541910,0.0348490595,-0.008161319,0.0000000000,0.0029886402,0.00,1.00,1.00,0.0056731236
"19",0.0113867896,0.1235092665,0.0087062951,0.0026804945,0.0000000000,-0.004816542,0.00,1.00,1.00,0.0010486517
"20",0.0243245487,0.1075671837,0.0279157047,-0.003591156,0.0000000000,0.0045819541,0.00,1.00,1.00,0.0037007227
"21",-0.000979667,0.1007117047,-0.004880906,0.0039012393,0.0000000000,-0.010488496,0.00,1.00,1.00,0.0006917836
"22",0.0189353049,0.0824894713,0.0270863678,-0.008151063,0.0000000000,0.0031369398,0.00,1.00,1.00,0.0056713805
"23",0.0171974095,0.0769313336,0.0145066002,0.0026908094,0.0000000000,0.0036654283,0.00,1.00,1.00,0.0010171357
"24",0.0102162706,0.0723372520,0.0071172188,0.0030990518,0.0000000000,-0.000395284,0.00,1.00,1.00,0.0008422240
"25",-0.007382740,0.0649582236,-0.007237437,-0.000145303,0.0000000000,-0.011501707,0.00,1.00,1.00,0.0022135197
"26",-0.013323731,0.0496302039,-0.004491534,-0.008832197,0.0017276218,-0.014726857,1.00,1.00,1.00,0.0060403482
"27",-0.024113571,0.0358349862,-0.015281374,-0.008832197,0.0147297490,-0.020419341,1.00,1.00,1.00,0.0056558152
"28",0.0070250072,0.0234192903,0.0158572045,-0.008832197,0.0260231172,0.0012916728,1.00,1.00,1.00,0.0037888757
"29",0.0432630561,0.0221591277,0.0421812897,0.0010817664,0.0000000000,0.0262855062,0.00,1.00,1.00,0.0016689681
"30",0.0636378890,0.0408172006,0.0427639034,0.0208739856,0.0000000000,0.0398120438,0.00,1.00,1.00,0.0000134254
"31",0.0744959306,0.0684442998,0.0427871113,0.0317088193,0.0000000000,0.0451495831,0.00,1.00,1.00,0.0000026018
"32",0.0665016094,0.0977264977,0.0303749816,0.0361266278,0.0000000000,0.0372590998,0.00,1.00,1.00,0.0000003818
"33",0.0731300261,0.1179492240,0.0431346500,0.0299953761,0.0000000000,0.0388221495,0.00,1.00,1.00,0.0000049582
"34",0.0762667094,0.1375084475,0.0449125634,0.0313541460,0.0000000000,0.0389655953,0.00,1.00,1.00,0.0000038282
"35",0.1367368090,0.1553290913,0.1051653205,0.0315714885,0.0000000000,0.0765070997,0.00,1.00,1.00,0.0000038280
"36",0.1585583411,0.2017038740,0.0966506493,0.0619076919,0.0000000000,0.0889730561,0.00,1.00,1.00,0.0000029136
"37",0.1176768570,0.2539292551,0.0452810886,0.0723957684,0.0000000000,0.0580260332,0.00,1.00,1.00,0.0000041462
"38",0.1073189222,0.2761780202,0.0596772316,0.0476416906,0.0000000000,0.0465134937,0.00,1.00,1.00,0.0000000386
"39",0.1273008556,0.2869346231,0.0889264507,0.0383744049,0.0000000000,0.0573442538,0.00,1.00,1.00,0.0000015009
"40",0.1370293729,0.3055194243,0.0897511094,0.0472782636,0.0000000000,0.0626120904,0.00,1.00,0.00,0.0000067933
"41",0.0976285168,0.3266660453,0.0459299534,0.0516985634,0.0000000000,0.0356338719,0.00,1.00,1.00,0.0000002904
"42",0.0850011647,0.3236800513,0.0553205542,0.0296806105,0.0000000000,0.0256715076,0.00,1.00,1.00,0.0000076316
"43",0.0839020637,0.3128137837,0.0624003262,0.0215017375,0.0000000000,0.0252294752,0.00,1.00,1.00,0.0000156623
"44",0.0906171371,0.3026433722,0.0695061702,0.0211109668,0.0000000000,0.0304898911,0.00,1.00,1.00,0.0000159571
"45",0.0572624148,0.2977655508,0.0318758989,0.0253865158,0.0000000000,0.0099867965,0.00,1.00,1.00,0.0000116163
"46",0.0502608206,0.2766031524,0.0416466639,0.0086141567,0.0000000000,0.0059161528,0.00,1.00,1.00,0.0004746681
"47",0.0562747143,0.2542084092,0.0510091423,0.0052655720,0.0000000000,0.0116246433,0.00,1.00,1.00,0.0006362498
"48",0.0573704337,0.2386660532,0.0474919487,0.0098784850,0.0000000000,0.0143009555,0.00,1.00,1.00,0.0004093080
"49",0.0432197101,0.2268210183,0.0311981397,0.0120215704,0.0000000000,0.0065472299,0.00,1.00,1.00,0.0003041000
"50",0.0795978249,0.2098489031,0.0738878383,0.0057099867,0.0000000000,0.0310910810,0.00,1.00,1.00,0.0006106653
"51",0.0655843376,0.2144111713,0.0400371791,0.0255471585,0.0000000000,0.0235661684,0.00,1.00,1.00,0.0000105690
"52",0.0474608638,0.2124393168,0.0279916012,0.0194692626,0.0000000000,0.0114351100,0.00,1.00,1.00,0.0000167332
"53",0.0594512349,0.2008376221,0.0498089978,0.0096422371,0.0000000000,0.0193657977,0.00,1.00,1.00,0.0004166189
"54",0.0484963349,0.1967825806,0.0324676143,0.0160287206,0.0000000000,0.0133174313,0.00,1.00,1.00,0.0001071870
"55",0.0738223177,0.1882335014,0.0626931388,0.0111291789,0.0000000000,0.0300835689,0.00,1.00,1.00,0.0003426294
"56",0.0668589176,0.1940574092,0.0422116596,0.0246472580,0.0000000000,0.0263505828,0.00,1.00,1.00,0.0000112573
"57",0.0468395412,0.1963047256,0.0251864839,0.0216530573,0.0000000000,0.0128521042,0.00,1.00,1.00,0.0000143308
"58",0.0539821379,0.1874263288,0.0432300621,0.0107520758,0.0000000000,0.0172768312,0.00,1.00,1.00,0.0003609064
"59",0.0504487060,0.1829863050,0.0361460969,0.0143026091,0.0000000000,0.0157869620,0.00,1.00,1.00,0.0001881299
"60",0.0630659266,0.1777755978,0.0499780033,0.0130879233,0.0000000000,0.0243690449,0.00,1.00,1.00,0.0002461360
"61",0.0565244617,0.1799932421,0.0365292576,0.0199952040,0.0000000000,0.0205997047,0.00,1.00,1.00,0.0000158607
2.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",0.0345791441,0.0000000000,0.0345791441,0.0000000000,0.0000000000,0.0227998375,0.00,1.00,1.00,0.0021212147
"3",0.0473369731,0.0180089400,0.0293280331,0.0180089400,0.0000000000,0.0312117411,0.00,1.00,1.00,0.0000161812
"4",0.0569306651,0.0409637670,0.0321749441,0.0247557210,0.0000000000,0.0357979288,0.00,1.00,1.00,0.0000093842
"5",0.0616933143,0.0653877815,0.0331729231,0.0285203912,0.0000000000,0.0367260571,0.00,1.00,1.00,0.0000058091
"6",0.0714873930,0.0882438591,0.0420925373,0.0293948557,0.0000000000,0.0408173301,0.00,1.00,1.00,0.0000052013
"7",0.0713624913,0.1122069476,0.0385750169,0.0327874745,0.0000000000,0.0385631052,0.00,1.00,1.00,0.0000020722
"8",0.0599849863,0.1321023361,0.0288689030,0.0311160833,0.0000000000,0.0288802396,0.00,1.00,1.00,0.0000040012
"9",0.0270493503,0.1423390709,0.0036023819,0.0234469684,0.0000000000,0.0055790365,0.00,1.00,1.00,0.0000119104
"10",0.0620436687,0.1328802218,0.0572686108,0.0047750580,0.0000000000,0.0274286582,0.00,1.00,0.00,0.0006794287
"11",0.0868065944,0.1418773272,0.0645214668,0.0222851276,0.0000000000,0.0444325242,0.00,1.00,1.00,0.0000130982
"12",0.0846714375,0.1636786190,0.0486824129,0.0359890246,0.0000000000,0.0421983280,0.00,1.00,1.00,0.0000009382
"13",0.0583348509,0.1816198252,0.0240257828,0.0343090681,0.0000000000,0.0230584373,0.00,1.00,1.00,0.0000014215
"14",0.0568610583,0.1824089225,0.0379099786,0.0189510798,0.0000000000,0.0204693177,0.00,1.00,1.00,0.0000169611
