"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"51",-0.049004668,-0.074777012,-0.040172471,-0.008832197,0.0256136518,-0.025595432,1.00,1.00,1.00,0.0039794900
"52",-0.044290920,-0.076131508,-0.035458723,-0.008832197,0.0382309882,-0.022325469,1.00,1.00,1.00,0.0020224289
"53",-0.031278104,-0.077350555,-0.022445907,-0.008832197,0.0313328500,-0.013557131,1.00,1.00,1.00,0.0030867584
"54",-0.030788903,-0.078447696,-0.021956705,-0.008832197,0.0133899142,-0.013117384,1.00,1.00,1.00,0.0059491485
"55",-0.052583367,-0.079435124,-0.043751169,-0.008832197,0.0125215683,-0.027491072,1.00,1.00,1.00,0.0060920104
"56",-0.073748671,-0.080323809,-0.064916473,-0.008832197,0.0423883007,-0.041459834,1.00,1.00,1.00,0.0014012031
"57",-0.050168238,-0.081123625,-0.041336041,-0.008832197,0.0738109831,-0.025712160,1.00,1.00,1.00,0.0005810768
"58",-0.024341193,-0.081843460,-0.015508995,-0.008832197,0.0385928719,-0.008477499,1.00,1.00,1.00,0.0019787782
"59",-0.049604320,-0.080525756,-0.042737679,-0.006866641,0.0000000000,-0.025195895,0.00,1.00,1.00,0.0051006551
"60",-0.059612807,-0.081305377,-0.050780609,-0.008832197,0.0374786246,-0.031968214,1.00,1.00,1.00,0.0021474454
"61",-0.047631743,-0.082007037,-0.038799546,-0.008832197,0.0522277282,-0.023935392,1.00,1.00,1.00,0.0009312367
2.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",0.0119154306,0.0000000000,0.0119154306,0.0000000000,0.0000000000,0.0078564663,0.00,1.00,1.00,0.0021212147
"3",0.0090977762,0.0062036816,0.0028940946,0.0062036816,0.0000000000,0.0059986395,0.00,1.00,1.00,0.0005665681
"4",0.0395227430,0.0103393634,0.0347666930,0.0047560500,0.0000000000,0.0254655283,0.00,1.00,1.00,0.0006405105
"5",0.0481583228,0.0294721962,0.0279915536,0.0201667692,0.0000000000,0.0307587863,0.00,1.00,1.00,0.0000140364
"6",0.0175712136,0.0509825719,-0.006886382,0.0244575952,0.0000000000,0.0088161289,0.00,1.00,1.00,0.0000098136
"7",0.0058990149,0.0530111227,-0.001227793,0.0071268080,0.0000000000,-0.000845816,0.00,1.00,1.00,0.0005249833
"8",-0.002407412,0.0471660745,-0.001863476,-0.000543936,0.0000000000,-0.006482385,0.00,1.00,1.00,0.0023760720
"9",0.0409507591,0.0374188783,0.0459813479,-0.005030589,0.0000000000,0.0225160768,0.00,1.00,1.00,0.0043087975
"10",0.0859633722,0.0516326051,0.0680077575,0.0179556146,0.0000000000,0.0530126052,0.00,1.00,1.00,0.0000166120
"11",0.1012502303,0.0887472527,0.0589723222,0.0422779082,0.0000000000,0.0616641258,0.00,1.00,1.00,0.0000006970
"12",0.1033533029,0.1293268448,0.0538989855,0.0494543174,0.0000000000,0.0594366880,0.00,1.00,1.00,0.0000015196
"13",0.0950208522,0.1643619335,0.0470530790,0.0479677731,0.0000000000,0.0501190470,0.00,1.00,1.00,0.0000009844
"14",0.0769128902,0.1886235110,0.0362151193,0.0406977709,0.0000000000,0.0350630627,0.00,1.00,1.00,0.0000003806
"15",0.0548715136,0.1984328989,0.0261997746,0.0286717390,0.0000000000,0.0185456755,0.00,1.00,1.00,0.0000072452
"16",0.0404295168,0.1939483800,0.0250707457,0.0153587710,0.0000000000,0.0083090755,0.00,1.00,1.00,0.0001388898
"17",0.0410595614,0.1816308828,0.0339822207,0.0070773408,0.0000000000,0.0091174641,0.00,1.00,1.00,0.0005405652
"18",0.0435587038,0.1711724220,0.0358540763,0.0077046275,0.0000000000,0.0118412910,0.00,1.00,0.00,0.0008019661
"19",0.0513318256,0.1639315430,0.0414554624,0.0098763632,0.0000000000,0.0178290189,0.00,1.00,1.00,0.0004009567
"20",0.0772881931,0.1622174788,0.0626091030,0.0146790901,0.0000000000,0.0353466080,0.00,1.00,1.00,0.0001669547
"21",0.0693837427,0.1747766769,0.0406027967,0.0287809460,0.0000000000,0.0303698990,0.00,1.00,1.00,0.0000068621
"22",0.0797211506,0.1821231466,0.0548970132,0.0248241375,0.0000000000,0.0359250534,0.00,1.00,1.00,0.0000109465
"23",0.0918370159,0.1932496829,0.0624981650,0.0293388509,0.0000000000,0.0431057838,0.00,1.00,1.00,0.0000065162
"24",0.0980858869,0.2091195706,0.0628910309,0.0351948560,0.0000000000,0.0461252975,0.00,1.00,1.00,0.0000014191
"25",0.0918874592,0.2259288477,0.0541662250,0.0377212342,0.0000000000,0.0406490023,0.00,1.00,1.00,0.0000011460
"26",0.0925788270,0.2366999725,0.0592148174,0.0333640096,0.0000000000,0.0395575824,0.00,1.00,1.00,0.0000030212
"27",0.1062564170,0.2455568336,0.0737295586,0.0325268584,0.0000000000,0.0474038093,0.00,1.00,1.00,0.0000039514
"28",0.0982046923,0.2599492960,0.0592565466,0.0389481457,0.0000000000,0.0414004722,0.00,1.00,1.00,0.0000012098
"29",0.1060761197,0.2680843157,0.0719461704,0.0341299493,0.0000000000,0.0451645890,0.00,1.00,1.00,0.0000026364
"30",0.0969363985,0.2785111635,0.0597011192,0.0372352793,0.0000000000,0.0385432943,0.00,1.00,1.00,0.0000016178
"31",0.0861363292,0.2825395249,0.0542568515,0.0318794778,0.0000000000,0.0306599056,0.00,1.00,1.00,0.0000050138
"32",0.0442392402,0.2797453609,0.0187794516,0.0254597885,0.0000000000,0.0033682861,0.00,1.00,1.00,0.0000113555
"33",0.0623109930,0.2549632209,0.0591185969,0.0031923961,0.0000000000,0.0152306273,0.00,1.00,1.00,0.0009083814
"34",0.0431559918,0.2422792638,0.0303436268,0.0128123649,0.0000000000,0.0050749885,0.00,1.00,1.00,0.0002679272
"35",0.0365651890,0.2225896032,0.0320269232,0.0045382658,0.0000000000,0.0019365395,0.00,1.00,1.00,0.0006696476
"36",0.0200498099,0.2022992161,0.0180812367,0.0019685732,0.0000000000,-0.007005066,0.00,1.00,1.00,0.0013875434
"37",0.0051570535,0.1767880551,0.0104382929,-0.005281239,0.0000000000,-0.014868998,0.00,1.00,1.00,0.0044346255
"38",0.0337849685,0.1502770523,0.0426171658,-0.008832197,0.0144305422,0.0059356786,1.00,1.00,1.00,0.0056529978
"39",0.0368464973,0.1403272321,0.0317686122,0.0050778851,0.0000000000,0.0103104136,0.00,1.00,1.00,0.0006360701
"40",0.0349393823,0.1348632336,0.0263706576,0.0085687247,0.0000000000,0.0099713007,0.00,1.00,1.00,0.0004620535
"41",0.0350578746,0.1296596881,0.0267750967,0.0082827778,0.0000000000,0.0105447390,0.00,1.00,1.00,0.0004756316
"42",0.0332105385,0.1254230169,0.0244812408,0.0087292976,0.0000000000,0.0098146612,0.00,1.00,1.00,0.0004530642
"43",0.0535663446,0.1210137525,0.0454333073,0.0081330372,0.0000000000,0.0234684529,0.00,1.00,1.00,0.0004821135
"44",0.0455277956,0.1279737061,0.0264664667,0.0190613289,0.0000000000,0.0186342021,0.00,1.00,1.00,0.0000162802
"45",-0.002781363,0.1303872816,-0.017992309,0.0152109461,0.0000000000,-0.013486201,0.00,1.00,1.00,0.0001364613
"46",0.0271721257,0.1085163561,0.0360043230,-0.008832197,0.0120016740,0.0058143621,1.00,1.00,1.00,0.0060943355
"47",0.0381563991,0.1025536329,0.0332674867,0.0048889124,0.0000000000,0.0149744905,0.00,1.00,1.00,0.0006422333
"48",0.0491902905,0.1044950224,0.0369935377,0.0121967528,0.0000000000,0.0227303949,0.00,1.00,1.00,0.0002796372
"49",0.0604751646,0.1124515787,0.0420691060,0.0184060585,0.0000000000,0.0299197044,0.00,1.00,1.00,0.0000167977
"50",0.0528553928,0.1254003463,0.0286614674,0.0241939254,0.0000000000,0.0242048981,0.00,1.00,1.00,0.0000109539
"51",0.0563071347,0.1325290527,0.0366383937,0.0196687410,0.0000000000,0.0252570105,0.00,1.00,1.00,0.0000156983
"52",0.0324388385,0.1398168651,0.0118981208,0.0205407177,0.0000000000,0.0090510499,0.00,1.00,1.00,0.0000148738
"53",0.0522131131,0.1333917132,0.0446565785,0.0075565346,0.0000000000,0.0212621384,0.00,1.00,0.00,0.0005409217
"54",0.0340613085,0.1373904750,0.0167233754,0.0173379331,0.0000000000,0.0100294682,0.00,1.00,1.00,0.0000349606
"55",0.0412752999,0.1319872560,0.0329394714,0.0083358285,0.0000000000,0.0143632456,0.00,1.00,1.00,0.0004732586
"56",0.0312066174,0.1305866868,0.0194084609,0.0117981564,0.0000000000,0.0082975817,0.00,1.00,1.00,0.0003026644
"57",0.0175916812,0.1244578399,0.0106618594,0.0069298218,0.0000000000,-0.000445381,0.00,1.00,1.00,0.0005422486
"58",0.0210834067,0.1119228916,0.0211725710,-0.000089164,0.0000000000,0.0023831883,0.00,1.00,0.00,0.0035603614
"59",0.0453985229,0.1028826080,0.0432465174,0.0021520056,0.0000000000,0.0193875623,0.00,1.00,1.00,0.0012590763
"60",-0.006721213,0.1083207759,-0.022447641,0.0157264287,0.0000000000,-0.013817951,0.00,1.00,1.00,0.0001080458
"61",-0.025308132,0.0886565010,-0.016475935,-0.008832197,0.0127038554,-0.026438040,1.00,1.00,0.00,0.0060176886
3.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",-0.019077117,0.0000000000,-0.019077117,0.0000000000,0.0000000000,-0.012578540,0.00,1.00,1.00,0.0021212147
"3",-0.039171992,-0.008832197,-0.030339794,-0.008832197,0.0108764918,-0.025828142,1.00,1.00,1.00,0.0063293878
"4",-0.056976890,-0.016781175,-0.048144693,-0.008832197,0.0376460621,-0.036772513,1.00,1.00,1.00,0.0019980212
