"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",-0.022816443,0.0000000000,-0.022816443,0.0000000000,0.0000000000,-0.015044074,0.00,1.00,1.00,0.0021212147
"3",-0.051797865,-0.008832197,-0.042965667,-0.008832197,0.0156868642,-0.034153040,1.00,1.00,1.00,0.0055229199
"4",-0.032772684,-0.016781175,-0.023940487,-0.008832197,0.0554627090,-0.020800227,1.00,1.00,1.00,0.0008563009
"5",-0.064519242,-0.023935255,-0.055687044,-0.008832197,0.0273719607,-0.041035334,1.00,1.00,1.00,0.0036314339
"6",-0.087662422,-0.030373926,-0.078830225,-0.008832197,0.0712301391,-0.055684354,1.00,1.00,1.00,0.0006013240
"7",-0.089066210,-0.036168731,-0.080234013,-0.008832197,0.1064098528,-0.056040078,1.00,1.00,1.00,0.0004280318
"8",-0.066543451,-0.041384055,-0.057711254,-0.008832197,0.1075249574,-0.040623182,1.00,1.00,1.00,0.0004278221
"9",-0.043309158,-0.046077847,-0.034476961,-0.008832197,0.0707587788,-0.024771245,1.00,1.00,1.00,0.0006151981
"10",-0.037479278,-0.050302260,-0.028647080,-0.008832197,0.0360056469,-0.020477578,1.00,1.00,1.00,0.0023148485
"11",-0.036846585,-0.054104231,-0.028014387,-0.008832197,0.0271293725,-0.019666493,1.00,1.00,1.00,0.0037113381
"12",-0.020087969,-0.057526005,-0.011255772,-0.008832197,0.0255110977,-0.008206806,1.00,1.00,1.00,0.0039729304
"13",-0.014964525,-0.058370511,-0.008367419,-0.006597106,0.0000000000,-0.004488161,0.00,1.00,1.00,0.0049833476
"14",-0.014279768,-0.056217771,-0.010595457,-0.003684311,0.0000000000,-0.003954333,0.00,1.00,1.00,0.0036993913
"15",0.0102107831,-0.053856059,0.0134708480,-0.003260065,0.0000000000,0.0120757027,0.00,1.00,1.00,0.0035141500
"16",0.0300401590,-0.039147300,0.0207170057,0.0093231533,0.0000000000,0.0249899193,0.00,1.00,1.00,0.0004033951
"17",0.0161807978,-0.015692769,-0.003359003,0.0195398004,0.0000000000,0.0143920080,0.00,1.00,1.00,0.0000141719
"18",0.0244244562,-0.002820702,0.0131216655,0.0113027907,0.0000000000,0.0175981759,0.00,1.00,1.00,0.0003089816
"19",0.0091325506,0.0113481432,-0.004754224,0.0138867747,0.0000000000,0.0062867722,0.00,1.00,1.00,0.0001827854
"20",-0.019604944,0.0152132040,-0.024604819,0.0049998751,0.0000000000,-0.013970643,0.00,1.00,1.00,0.0006285754
"21",-0.038936021,0.0048596863,-0.030103824,-0.008832197,0.0134817684,-0.027053160,1.00,1.00,1.00,0.0058836513
